#Source: https://github.com/openvax/pepdata/blob/master/pepdata/matrices/amino_acid_properties.txt
,hydropathy,hydrophilicity,volume,polarity,pK_side_chain,prct_exposed_residues,accessible_surface_area,local_flexibility,accessible_surface_area_folded,refractivity,mass
ALA,1.8,-0.5,91.5,0.0,0.0,15.0,27.8,705.42,31.5,4.34,70.079
ARG,-4.5,3.0,202.0,52.0,12.48,67.0,94.7,1484.28,93.8,26.66,156.188
ASN,-3.5,0.2,135.2,3.38,0.0,49.0,60.1,513.4601,62.2,13.28,114.104
ASP,-3.5,3.0,124.5,40.7,3.65,50.0,60.6,34.96,60.9,12.0,115.089
CYS,2.5,-1.0,118.0,1.48,8.18,5.0,15.5,2412.5601,13.9,35.77,103.144
GLN,-3.5,0.2,161.1,3.53,0.0,56.0,68.7,1087.83,74.0,17.56,128.131
GLU,-3.5,3.0,155.1,49.91,4.25,55.0,68.2,1158.66,72.3,17.26,129.116
GLY,-0.4,0.0,66.4,0.0,0.0,10.0,24.5,33.18,25.2,0.0,57.052
HSD,-3.2,-0.5,167.3,51.6,6.0,34.0,50.7,1637.13,46.7,21.81,137.142
ILE,4.5,-1.8,168.8,0.15,0.0,13.0,22.8,5979.3701,23.0,19.06,113.16
LEU,3.8,-1.8,167.9,0.45,0.0,16.0,27.6,4985.73,29.0,18.78,113.16
LYS,-3.9,3.0,171.3,49.5,10.53,85.0,103.0,699.69,110.3,21.29,128.174
MET,1.9,-1.3,170.8,1.43,0.0,20.0,33.5,4491.6602,30.5,21.64,131.198
PHE,2.8,-2.5,203.4,0.35,0.0,10.0,25.5,5203.8599,28.7,29.4,147.177
PRO,-1.6,0.0,129.3,1.58,0.0,45.0,51.5,431.96,53.7,10.93,97.177
SER,-0.8,0.3,99.1,1.67,0.0,32.0,42.0,174.76,44.2,6.35,87.078
THR,-0.7,-0.4,122.1,1.66,0.0,32.0,45.0,601.88,46.0,11.01,101.105
TRP,-0.9,-3.4,237.6,2.1,0.0,17.0,34.7,6374.0698,41.7,42.53,186.213
TYR,-1.3,-2.3,203.6,1.61,10.7,41.0,55.2,4291.1001,59.1,31.53,163.17
VAL,4.2,-1.5,141.7,0.13,0.0,14.0,23.7,4474.4199,23.5,13.92,99.133
